,Store Number,City_x,2015 Sales,2015 Sales mean,County Number_x,Price per Liter mean_x,Zip Code_x,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 q1 Sales,2015 q1 Sales mean,2015 q1 Volume Sold (Liters),2015 q1 Volume Sold (Liters) mean,2015 q1 Margin mean,City,2016 q1 Sales,2016 q1 Sales mean,County Number,Price per Liter mean,Zip Code,2016 q1 Volume Sold (Liters),2016 q1 Volume Sold (Liters) mean,2016 q1 Margin mean,15-16 q1 Sales Growth,2016 Predicted Sales
278,3756,MANNING,98524.64,47.943863747,14,16.7513431511,51455,7048.32,3.42983941606,16.0428515815,17531.78,46.7514133333,1343.9,3.58373333333,15.6684266667,MANNING,24550.38,49.6971255061,14.0,16.5886009305,51455,1761.68,3.56615384615,16.5844736842,7018.6,116118.645382
279,3757,SIOUX CITY,548912.59,162.544444773,97,14.3389362212,51108,42336.75,12.5367930115,54.3752561445,121393.71,173.172196862,9542.25,13.612339515,57.9487446505,SIOUX CITY,128499.0,150.820422535,97.0,14.3484708249,51108,9735.0,11.426056338,50.3674647887,7105.29,556659.914165
280,3762,WINDSOR HEIGHTS,334321.29,95.1398093341,77,23.1891223208,50322,20681.49,5.88545532157,31.7471969266,75058.89,86.2745862069,4680.28,5.37963218391,28.8036091954,WINDSOR HEIGHTS,85412.77,91.841688172,77.0,22.3840528674,50322,5407.54,5.81455913978,30.6279247312,10353.88,374057.562818
281,3763,HAWARDEN,123747.79,89.0912814975,84,15.1366966643,51023,9997.84,7.19786897048,29.7833549316,32000.71,89.6378431373,2593.75,7.26540616246,29.9390196078,HAWARDEN,28904.18,87.3238066465,84.0,13.8914573443,51023,2423.75,7.32250755287,29.1706042296,-3096.53,134570.343693
282,3766,NEW HAMPTON,84922.13,57.4574627876,19,15.3146786452,50659,8132.66,5.50247631935,19.2698714479,19616.9,65.608361204,1959.71,6.55421404682,21.9934113712,NEW HAMPTON,2956.25,98.5416666667,19.0,16.7379365079,50659,204.0,6.8,32.856,-16660.65,24601.2646949
283,3769,CEDAR FALLS,551946.06,175.667110121,7,14.0362589797,50613,44589.75,14.1915181413,58.7837778485,123543.9,180.619736842,10023.75,14.6546052632,60.4421491228,CEDAR FALLS,114852.72,153.751967871,7.0,13.6479658316,50613,9429.0,12.6224899598,51.3498795181,-8691.18,498826.05831
284,3773,CEDAR RAPIDS,2296386.55,245.524061798,57,23.7752870905,52401,126163.3,13.4890730247,81.898356677,509625.13,242.21726711,28127.44,13.3685551331,80.8018773764,CEDAR RAPIDS,651474.94,266.99792623,57.0,24.0945321526,52401,35671.82,14.6195983607,89.0310819672,141849.81,2773067.25224
285,3774,DUBUQUE,132710.24,110.407853577,31,11.3057923302,52001,14449.0,12.0207986689,37.1932861897,31672.37,105.223820598,3350.25,11.1303986711,35.2510963455,DUBUQUE,26369.03,101.810926641,31.0,11.1469056812,52001,2931.25,11.3175675676,34.0900772201,-5303.34,123826.206853
286,3776,DAVENPORT,424637.42,142.879347241,82,13.9590671666,52806,32571.75,10.959539031,47.7838257066,98119.34,149.117537994,7397.25,11.2420212766,49.8603799392,DAVENPORT,90751.98,137.294977307,82.0,13.6458706145,52806,7114.5,10.7632375189,45.8312859304,-7367.36,396685.49523
287,3778,DES MOINES,127728.08,54.5613327638,77,23.1927946642,50310,6419.04,2.74200768902,18.2011149082,29767.69,54.2216575592,1517.58,2.76426229508,18.0966484517,DES MOINES,37588.32,66.528,77.0,25.0787125234,50310,1739.48,3.07872566372,22.1847964602,7820.63,171374.31525
288,3779,FORT DODGE,74721.94,115.311635802,94,14.9727452601,50501,7043.82,10.8700925926,38.8947839506,14902.44,108.776934307,1466.45,10.7040145985,36.6662773723,FORT DODGE,15774.58,121.342923077,94.0,13.9492271062,50501,1475.05,11.3465384615,40.9632307692,872.14,78926.2125573
289,3782,GUTTENBURG,97431.04,82.5686779661,22,13.4143583535,52052,8028.7,6.80398305085,27.620940678,15729.54,68.3893043478,1327.75,5.77282608696,22.8379130435,GUTTENBERG,28626.04,84.4425958702,22.0,13.7465683382,52052,2349.0,6.92920353982,28.2310029499,12896.5,133391.567596
290,3783,POCAHONTAS,179053.57,74.4815183028,76,15.5345990121,50574,16067.58,6.68368552413,25.0502537438,46928.25,77.6957781457,4413.22,7.30665562914,26.181307947,POCAHONTAS,48262.36,87.4318115942,76.0,15.9502184696,50574,4363.55,7.90498188406,29.5449275362,1334.11,216611.617338
291,3784,INDEPENDENCE,232187.75,116.501630707,10,18.0257375358,50644,16083.04,8.06976417461,38.9224736578,59315.79,121.54875,3980.4,8.15655737705,40.626045082,INDEPENDENCE,55750.52,108.887734375,10.0,18.4667934485,50644,3764.48,7.3525,36.3670507813,-3565.27,248346.944919
292,3785,DES MOINES,138293.3,71.4694056848,77,20.0636576907,50315,9712.59,5.01942635659,23.8475142119,41992.65,80.6000959693,2738.07,5.25541266795,26.8906142035,DES MOINES,23414.87,49.9250959488,77.0,20.654062328,50315,1652.47,3.5233901919,16.6708315565,-18577.78,111306.277348
293,3789,OSKALOOSA,237564.21,183.731020882,62,14.8306695393,52577,17817.75,13.780162413,61.44774942,52296.57,216.101528926,3905.25,16.1373966942,72.2080165289,OSKALOOSA,34131.78,147.756623377,62.0,14.0507689136,52577,2586.0,11.1948051948,49.3548051948,-18164.79,156725.26539
